stock_id,name,entry_date,exit_date,entry_price,exit_price,realized_pnl_pct,stoploss_triggered,exit_reason,score
6426,統新,2017-01-03,2017-02-02,58.8,78.8,0.33429355442176867,False,Normal Rebalance Exit,0.12350684426728947
6588,東典光電,2017-01-03,2017-02-02,96.49,132.0,0.3621749111306871,False,Normal Rebalance Exit,0.14631375761514193
8068,全達,2017-01-03,2017-01-09,35.2,31.9,-0.09959250000000011,True,Stop Loss / Trailing Stop,0.13605309691524706
8111,立碁,2017-01-03,2017-02-02,4.22,6.25,0.4752001540284361,False,Normal Rebalance Exit,0.10016732471596064
1603,華電,2017-02-02,2017-03-01,24.7,27.75,0.11763928137651833,False,Normal Rebalance Exit,0.11947123538975826
1616,億泰,2017-02-02,2017-03-01,5.34,7.08,0.32000019662921364,False,Normal Rebalance Exit,0.08080819876582292
1785,光洋科,2017-02-02,2017-02-13,17.15,14.55,-0.15744599854227395,True,Stop Loss / Trailing Stop,0.1210097493774338
2007,燁興,2017-02-02,2017-03-01,5.37,6.13,0.13568450186219724,False,Normal Rebalance Exit,0.13011048077323673
2009,第一銅,2017-02-02,2017-03-01,8.54,12.2,0.42272892857142863,False,Normal Rebalance Exit,0.08654885570349831
2321,東訊,2017-02-02,2017-02-24,4.1,3.79,-0.08145225609756093,True,Stop Loss / Trailing Stop,0.08072010838127015
2349,錸德,2017-02-02,2017-03-01,5.67,6.14,0.07704991622574961,False,Normal Rebalance Exit,0.155792191011818
2609,陽明,2017-02-02,2017-03-01,5.74,7.36,0.27638746515679435,False,Normal Rebalance Exit,0.10547155807325255
2923,鼎固-KY,2017-02-02,2017-03-01,20.8,21.4,0.023003653846153743,False,Normal Rebalance Exit,0.20676401776384834
3259,鑫創,2017-02-02,2017-03-01,17.0,22.4,0.3118045588235294,False,Normal Rebalance Exit,0.10838874703329407
3266,昇陽,2017-02-02,2017-03-01,11.6,11.75,0.007088534482758675,False,Normal Rebalance Exit,0.4070707839631434
4152,台微體,2017-02-02,2017-03-01,115.5,119.0,0.024460530303030276,False,Normal Rebalance Exit,0.644621000544036
5201,凱衛,2017-02-02,2017-03-01,18.4,21.5,0.1626357608695654,False,Normal Rebalance Exit,0.17710984805963711
5381,合正,2017-02-02,2017-03-01,2.17,2.1,-0.038100564516129004,False,Normal Rebalance Exit,0.25975341308511807
6426,統新,2017-02-02,2017-03-01,78.8,80.5,0.015731104060913798,False,Normal Rebalance Exit,0.12659703498607966
6560,欣普羅,2017-02-02,2017-03-01,65.4,95.4,0.45287309633027517,False,Normal Rebalance Exit,0.08907469982785307
6588,東典光電,2017-02-02,2017-03-01,132.0,130.0,-0.02099401515151514,False,Normal Rebalance Exit,0.22890526405291928
